Entity,Code,Year,consumption_per_capita,production_per_capita
Australia,AUS,1995.0,61.0,59.0
Australia,AUS,1996.0,59.2,57.8
Australia,AUS,1997.0,59.2,56.6
Australia,AUS,1998.0,62.10000000000001,60.4
Australia,AUS,1999.0,62.5,58.5
Australia,AUS,2000.0,61.60000000000001,61.3
Australia,AUS,2001.0,62.8,63.2
Australia,AUS,2002.0,64.0,61.0
Australia,AUS,2003.0,66.4,62.0
Australia,AUS,2004.0,64.2,55.6
Australia,AUS,2005.0,72.5,60.5
Australia,AUS,2006.0,73.7,63.0
Australia,AUS,2007.0,77.39999999999999,64.6
Australia,AUS,2008.0,72.8,62.5
Australia,AUS,2009.0,73.80000000000001,64.2
Australia,AUS,2010.0,75.7,64.5
Australia,AUS,2011.0,79.6,65.9
Australia,AUS,2012.0,71.4,57.8
Australia,AUS,2013.0,69.3,58.0
Australia,AUS,2014.0,62.9,53.900000000000006
Australia,AUS,2015.0,62.0,54.4
Australia,AUS,2016.0,54.5,51.6
Australia,AUS,2017.0,62.4,59.8
Australia,AUS,2020.0,55.0,56.5
Austria,AUT,1995.0,47.6,36.4
Austria,AUT,1996.0,53.8,39.3
Austria,AUT,1997.0,51.8,38.7
Austria,AUT,1998.0,54.7,41.4
Austria,AUT,1999.0,53.0,39.9
Austria,AUT,2000.0,52.3,39.5
Austria,AUT,2001.0,52.9,40.3
Austria,AUT,2002.0,52.9,41.4
Austria,AUT,2003.0,55.7,43.5
Austria,AUT,2004.0,56.7,44.8
Austria,AUT,2005.0,58.2,45.9
Austria,AUT,2006.0,58.8,46.0
Austria,AUT,2007.0,57.0,45.3
Austria,AUT,2008.0,57.7,46.1
Austria,AUT,2009.0,52.6,43.0
Austria,AUT,2010.0,54.1,43.900000000000006
Austria,AUT,2011.0,56.6,45.7
Austria,AUT,2012.0,55.8,45.1
Austria,AUT,2013.0,54.1,43.5
Austria,AUT,2014.0,54.9,44.4
Austria,AUT,2015.0,51.7,42.2
Austria,AUT,2016.0,52.2,42.4
Austria,AUT,2017.0,53.0,43.2
Austria,AUT,2018.0,54.9,44.6
Austria,AUT,2019.0,55.0,45.0
Austria,AUT,2020.0,55.5,45.3
Belgium,BEL,1995.0,41.4,41.5
Belgium,BEL,1996.0,53.2,48.4
Belgium,BEL,1997.0,49.1,47.9
Belgium,BEL,1998.0,58.2,56.8
Belgium,BEL,1999.0,56.5,55.1
Belgium,BEL,2000.0,59.6,57.7
Belgium,BEL,2001.0,58.6,55.2
Belgium,BEL,2002.0,48.6,45.0
Belgium,BEL,2003.0,56.6,50.7
Belgium,BEL,2004.0,51.9,44.7
Belgium,BEL,2005.0,56.4,47.7
Belgium,BEL,2006.0,52.7,43.7
Belgium,BEL,2007.0,48.4,39.8
Belgium,BEL,2008.0,61.50000000000001,47.5
Belgium,BEL,2009.0,53.3,42.0
Belgium,BEL,2010.0,56.4,45.8
Belgium,BEL,2011.0,56.3,41.7
Belgium,BEL,2012.0,57.2,42.7
Belgium,BEL,2013.0,63.8,51.5
Belgium,BEL,2014.0,62.5,49.8
Belgium,BEL,2015.0,66.69999999999999,52.7
Belgium,BEL,2016.0,66.8,52.8
Belgium,BEL,2017.0,64.8,52.1
Belgium,BEL,2018.0,66.9,52.1
Belgium,BEL,2019.0,66.5,55.3
Belgium,BEL,2020.0,69.8,55.7
Brazil,BRA,1995.0,11.6,11.3
Brazil,BRA,1996.0,12.2,12.0
Brazil,BRA,1997.0,12.7,12.4
Brazil,BRA,1998.0,12.6,12.4
Brazil,BRA,1999.0,11.8,12.4
Brazil,BRA,2000.0,12.0,12.3
Brazil,BRA,2001.0,11.4,12.1
Brazil,BRA,2002.0,10.6,12.2
Brazil,BRA,2003.0,10.6,12.3
Brazil,BRA,2004.0,11.0,12.8
Brazil,BRA,2005.0,11.6,13.0
Brazil,BRA,2006.0,12.3,13.3
Brazil,BRA,2007.0,13.3,13.9
Brazil,BRA,2008.0,14.6,14.5
Brazil,BRA,2009.0,13.8,13.9
Brazil,BRA,2010.0,15.9,15.2
Brazil,BRA,2011.0,16.5,15.400000000000002
Brazil,BRA,2012.0,16.7,15.8
Brazil,BRA,2013.0,17.5,16.4
